coin_id,timestamp,price,market_cap,total_volume
cardano,2026-06-17 03:00:00+00:00,0.1742343137343175,6482564870.919703,432875101.9246012
cardano,2026-06-17 04:00:00+00:00,0.1728441898494374,6430843897.770341,435936789.76975936
cardano,2026-06-17 05:00:00+00:00,0.1727905574193411,6428848448.654536,432940496.70819134
cardano,2026-06-17 06:00:00+00:00,0.1725813934613943,6421066290.8408,443069764.73454446
cardano,2026-06-17 07:00:00+00:00,0.1712880207004454,6372945041.671038,429643168.8421787
cardano,2026-06-17 08:00:00+00:00,0.1710983593077736,6365888496.636061,424628634.6184667
cardano,2026-06-17 09:00:00+00:00,0.1689622624673267,6286412840.88275,451350550.2906792
cardano,2026-06-17 10:00:00+00:00,0.1690040398043588,6287967209.202286,444084498.1790615
cardano,2026-06-17 11:00:00+00:00,0.1689928547830642,6287551059.107789,441053618.1853014
cardano,2026-06-17 12:00:00+00:00,0.1687465632756176,6278387533.049348,454963299.4410405
cardano,2026-06-17 13:00:00+00:00,0.1692704315271543,6297878584.2184105,448236182.2832888
cardano,2026-06-17 14:00:00+00:00,0.1682028418514823,6258157824.399416,454564851.8198231
cardano,2026-06-17 15:00:00+00:00,0.167895949373689,6246739577.59686,451696575.7215404
cardano,2026-06-17 16:00:00+00:00,0.1712670226434924,6372163787.603201,420375088.0866842
cardano,2026-06-17 17:00:00+00:00,0.1709505471820542,6360388996.146476,475192687.6515333
cardano,2026-06-17 18:00:00+00:00,0.171913036329951,6396199383.922973,478805797.8070557
cardano,2026-06-17 19:00:00+00:00,0.1696477888165821,6311918546.013538,490473895.2116805
cardano,2026-06-17 20:00:00+00:00,0.1653571910299196,6152282491.031413,503950818.9432233
cardano,2026-06-17 21:00:00+00:00,0.1671378850201753,6218535022.233112,511622742.9004454
cardano,2026-06-17 22:00:00+00:00,0.1659171863046076,6173117684.8446665,528795183.3883433
cardano,2026-06-17 23:00:00+00:00,0.1665756428397727,6197616230.007229,536782372.25811696
cardano,2026-06-18 00:00:00+00:00,0.1667194792286004,6202967809.161704,537035991.0014477
cardano,2026-06-18 01:00:00+00:00,0.1670405022862089,6214911798.559689,531382984.2676097
cardano,2026-06-18 02:00:00+00:00,0.1678103317401532,6243554086.452236,518333557.1428784
cardano,2026-06-18 03:00:00+00:00,0.1684137266078808,6266004006.2699175,502777403.9590927
cardano,2026-06-18 04:00:00+00:00,0.1667138017658594,6202756573.385396,499776206.9753996
cardano,2026-06-18 05:00:00+00:00,0.1656018503526636,6161385289.997761,496479513.0534851
cardano,2026-06-18 06:00:00+00:00,0.1648248850597112,6132477505.956453,502176751.3372896
cardano,2026-06-18 07:00:00+00:00,0.1654429079399371,6155471675.858521,498655256.0576548
cardano,2026-06-18 08:00:00+00:00,0.1666395656554155,6199994543.384516,497163561.9215502
cardano,2026-06-18 09:00:00+00:00,0.1665233009338902,6195668796.157498,479252074.873068
cardano,2026-06-18 10:00:00+00:00,0.1671192351785748,6217841135.906036,469290493.2500708
cardano,2026-06-18 11:00:00+00:00,0.1664724310267016,6193776129.51647,471541586.64806926
cardano,2026-06-18 12:00:00+00:00,0.164968374214891,6137816165.929854,470102874.4741311
cardano,2026-06-18 13:00:00+00:00,0.1657652734673246,6167465613.210174,464609997.4728641
cardano,2026-06-18 14:00:00+00:00,0.1644218900341557,6117483666.110391,457477008.82708055
cardano,2026-06-18 15:00:00+00:00,0.1645710027865534,6123031557.738521,443897493.23678094
cardano,2026-06-18 16:00:00+00:00,0.1601792925133155,5959633509.843308,440015054.6393015
cardano,2026-06-18 17:00:00+00:00,0.1622020564850527,6034892500.935846,451456047.3670549
cardano,2026-06-18 18:00:00+00:00,0.1612407815042606,5999127287.481515,453131055.1526211
cardano,2026-06-18 19:00:00+00:00,0.1620468527817675,6029117989.284328,418839424.8929184
cardano,2026-06-18 20:00:00+00:00,0.1629340053537835,6062125403.123981,386336453.97971606
cardano,2026-06-18 21:00:00+00:00,0.163348961058298,6077564252.196934,376552279.53123647
cardano,2026-06-18 22:00:00+00:00,0.1630466916381738,6066318010.95746,374409986.88543504
cardano,2026-06-18 23:00:00+00:00,0.1629269358191695,6062922057.936804,359394258.0187542
cardano,2026-06-19 00:00:00+00:00,0.1635268954601685,6085248068.813986,354799785.99359393
cardano,2026-06-19 01:00:00+00:00,0.1638196726412891,6096143045.881787,356807458.9052621
cardano,2026-06-19 02:00:00+00:00,0.1643902281527064,6117374854.96269,356441174.9566315
cardano,2026-06-19 03:00:00+00:00,0.1641515399664477,6108492665.7644415,361285427.1706365
cardano,2026-06-19 04:00:00+00:00,0.1619272789537798,6025722305.611836,371954808.201118
cardano,2026-06-19 05:00:00+00:00,0.160012217197065,5954458029.335357,362830640.9666872
cardano,2026-06-19 06:00:00+00:00,0.1607473693683611,5981814895.116213,362200468.91104144
cardano,2026-06-19 07:00:00+00:00,0.1606515374377895,5978248747.365409,363923851.41017663
cardano,2026-06-19 08:00:00+00:00,0.1594208189380593,5932450609.06735,367242569.91833234
cardano,2026-06-19 09:00:00+00:00,0.1604308940891394,5970038052.069743,367876628.4845836
cardano,2026-06-19 10:00:00+00:00,0.1596037960185781,5939259647.560566,370545055.6544253
cardano,2026-06-19 11:00:00+00:00,0.1601340077684342,5958990163.55792,347170237.210443
cardano,2026-06-19 12:00:00+00:00,0.1597463514155097,5944564493.295182,366561524.08934826
cardano,2026-06-19 13:00:00+00:00,0.1605537537946472,5974609971.469131,343587127.2455872
cardano,2026-06-19 14:00:00+00:00,0.1621974478094701,6035775969.889608,349376563.3033234
cardano,2026-06-19 15:00:00+00:00,0.1616610626131194,6015815724.38352,360853070.2832695
cardano,2026-06-19 16:00:00+00:00,0.161623703888039,6014425512.0333805,331344337.2399436
